user_review,product_id,sentiment_score
I got everything I expected out of my order for a good price and the product shipped fast. This pedal works excellent with my old Yamaha electric keyboard!,B00005ML71,0.784
"I use this while gigging with my MOX6. Sturdy, built well, and works just like you'd expect. Gives me the full volume range with good micro-adjustment.",B00005ML71,0.7579
"I love it, I used this for my Yamaha ypt-230 and it works great, I would recommend it to anyone",B00005ML71,0.8957
"works s it should and it doesn't weigh too much. It could be smaller and a little cheaper, but no big deal.",B00005ML71,-0.3409
"This pedal appeared to be of very good quality. Unfortunately, it has an attached cord instead of allowing you to use your own 1/4"" cord. Plus, I need an right angle connection at the end which this does not have, so I had to return it unused. Would not recommend this if these things are important to you.",B00005ML71,0.0565
"Pedal is made real good Not like some of the other junk light weight Pedals I sent back., Con just a little But not a problem.. Love it. Would buy again,",B00005ML71,-0.6318
"This is a well made high quality pedal so have no doubts on the quality of construction. Yamaha is VERY good. Worked just fine as an expression pedal for my Zoom 505II. The only thing is that if you're using this with a Digitech processor, it won't work normally. You need a ""continuous control"" pedal for Digitech devices. Good luck!",B00005ML71,0.8433
Controls volume by default and works well. We purchased to set it up in the keyboard settings to change rotary speaker speed on organ setting. Works well but keyboard settings tricky... but this is the keyboard's fault and not the pedal.,B00005ML71,-0.3506
"works as adversited. use it in a live stage situation, price was right, bought one for the other keyboard player in the band too.",B00005ML71,0.0
It works well. No polarity switch - would not work with Casio. Keep swinging and playing music Fats Waller is the best!,B00005ML71,0.7345
Got this for my Yamaha EX5 in addition to the FC3 and FC7. I needed the whole set to setup different parameters and control to each. works great!,B00005ML71,0.6588
Got this guy and it works perfectly with my Yamaha EX5. Very sturdy in its construction. Great control/motion over the volume unlike other controllers that have a smaller range.,B00005ML71,0.8519
I was glad to have read other reviews that suggested we get this pedal right away for a kid who is used to having one on his piano. He uses it just fine. Really it would have been problematic not to have it!,B00005ML71,0.2942
"I have two of these. They are built like a tank, operate very smoothly. I like the Fortissimo feature (spring return). It is a very good value for the price. The only negative I would give it is big. I like the size of the Hammond pedal better, but that is just my preference.",B00005ML71,0.699
I bought this to use in my home studio to control my midi keyboard. It does just what I wanted it to do.,B00005ML71,0.0
"I actually purchased this to act as a foot pedal for a Yamaha Y-DD40. Helped me see just how bad my instrument skills were, however I highly recommend this product. I haven't tried any other foot pedal though. I will mention that it doesn't seem to have a sensitivity to it, just a single button press type.",B00005ML71,-0.1796
Built like a tank and does all it's suppose to do. Heavy construction which means it will last for years. I love my Yamaha products because there built with quality.,B00005ML71,0.7717
"I didn't read the reviews before buying this pedal and so I was unaware of the always-on vs always off issues that people are having with some keyboards. Luckily, the pedal works perfectly with my MIDI controller, which is an old Roland PC-180A.",B00005ML71,0.7522
I can understand why folks who are most familiar or most comfortable with a pedal that re-creates the feel of what can be found on a real piano might not be thrilled with this. But I just needed something to be able to get a sustain effect out of an old Yamaha DX21 keyboard. This product did the job and works great.,B00005ML71,0.8044
"This Fender cable is the perfect length for me! Sometimes I find it a bit too long but I don't mind. The build quality is great and I know that it will last. The only gripe I have with this cable is that the metal sleeve gets unscrewed way too easily, requiring me to tighten it often. Sound quality is not affected, and the color is cool, definitely try this cable out.",B000068NSX,0.9615
Fender cords look great and work just as well. By adding the word California to the description I'm sure to sound like the Beach Boys...,B000068NSX,0.875
wanted it just on looks alone...It is a nice looking cord... I know it will perform...as for Sam Ash ...this cord was packed in a mailer inside another box with my Roc n Soc... his shipping team do great work..never any complaints from me... I love Sam Ash.. thanks Amazon,B000068NSX,0.9186
