user_review,product_id,sentiment_score
too much fluff,079451524X,0.0
"I bought this for my daughter (7) to go along with her new microscope and slide set. Although we haven't tried most of the suggestions, we did flip through it and it's a great book. It gives enough detail to be valuable for years to come but not so much detail to be overwhelming to a child. I would think this book will last her until at least age 12. This is a great companion to a microscope gift!",079451524X,0.937
Well written!,079451524X,0.3382
This book has alot of information and is worth the money. My daughter understands it and shes 8. It has different pictures with explanations and how to use the microscope.,079451524X,0.2263
"I'm a biology professor, and I teach microscopy. There are experiments in this book that I didn't even know about. My nephew and I are gonna have soooo much fun. I can't wait to share this with him and work with his new microscope. This is waaaay better than buying kids pointless games. Learning is food for the brain and it's better to start them while they're young.",079451524X,0.8027
I'm an ordained minister and instead of giving couples the usual bland marriage certificate I give them these instead. Couples seem to enjoy these more and they look good.,0805404546,0.8176
I'm an ordained minister and instead of giving couples the usual bland marriage certificate I give them these instead. Couples seem to enjoy these more and they look good.,0805404546,0.8176
They are lovely.,0805404546,0.5859
I am very happy with this product.,0805474536,0.6115
This is exactly what we needed for our small house church. We love the different categories (though we don't' use them all at this point) and the simplicity of design.,0805474536,0.6369
"Needed offering envelope for our small church. My only wish was that the closing was like all the other envelopes for ease of use, but they are good.",0805474536,0.802
just fine,0805474536,0.2023
Easy to use and a perfect size for purse or small area. Plenty of space for all information. I am vision impaired and can write large enough in it.,0811859363,0.8225
"Cath Kidson makes lovely, useful stationery items ... love, love, her designs!",0811859363,0.9468
"This is a great address book. Good quality, attractive, and even though smaller than I expected, it had plenty of room for all kinds of information on each person I entered.",0811859363,0.872
"I really like this, it's small, but there is still enough space for the information I need and also has a little section for keeping track of birthdays by month. Plus it looks adorable.",0811859363,0.7349
"The inside is kind of cute, but had I seen it before I ordered it, I would have skipped it.",0811859363,0.2152
"Purchased because it was pretty and because I lost my old one I'd had forever. My old one had spiral binding and I much prefer that, but this one was so pretty..... we'll see how long it lasts.",0811859363,0.1154
I should have looked at the size...it's a bit small for all the information I was needing to record....but it is okay - nice - product is made good and the service of getting it was great -,0811859363,0.8934
My favorite plan book ever. Lots of space to write and very versatile.,0887245587,0.4588
I like the sections and lines that are in this lesson plan book. I will buy again next year.,0887245587,0.3612
I have bought one of these every year for a long time. You can use marker to create widths of columns wanted. A Classic,0887245587,0.2732
